Acronym	Meaning
%FOT	Percentage of all on-ice faceoffs taken by this player.
+/-	Plus/minus
1G	First goals of a game
1st	Number of first game stars awarded
2nd	Number of second game stars awarded
3rd	Number of third game stars awarded
A/60	Events Against per 60 minutes, defaults to Corsi, but can be set to another stat
A1	First assists, primary assists
A2	Second assists, secondary assists
BLK%	Percentage of all opposing shot attempts blocked by this player
Born	Birth date
C.Close	A player shot attempt (Corsi) differential when the game was close
C.Down	A player shot attempt (Corsi) differential when the team was trailing
C.Tied	A player shot attempt (Corsi) differential when the team was tied
C.Up	A player shot attempt (Corsi) differential when the team was in the lead
CA	Shot attempts allowed (Corsi, SAT) while this player was on the ice
Cap Hit	The player's cap hit
CBar 	Crossbars hit
CF	The team's shot attempts (Corsi, SAT) while this player was on the ice
CF.QoC	A weighted average of the Corsi percentage of a player's opponents
CF.QoT	A weighted average of the Corsi percentage of a player's linemates
CHIP	Cap Hit of Injured Player is games lost to injury multiplied by cap hit per game
City	City of birth
Cntry	Country of birth
DAP	Disciplined aggression proxy, which is hits and takeaways divided by minor penalties
DFA	Dangerous Fenwick against, which is on-ice unblocked shot attempts weighted by shot quality
DFF	Dangerous Fenwick for, which is on-ice unblocked shot attempts weighted by shot quality
DFF.QoC	Quality of Competition metric based on Dangerous Fenwick, which is unblocked shot attempts weighted for shot quality
DftRd	Round in which the player was drafted
DftYr	Year drafted
Diff	Events for minus event against, defaults to Corsi, but can be set to another stat
Diff/60	Events for minus event against, per 60 minutes, defaults to Corsi, but can be set to another stat
DPS	Defensive point shares, a catch-all stats that measures a player's defensive contributions in points in the standings
DSA	Dangerous shots allowed while this player was on the ice, which is rebounds plus rush shots
DSF	The team's dangerous shots while this player was on the ice, which is rebounds plus rush shots
DZF	Shifts this player has ended with an defensive zone faceoff
dzFOL	Faceoffs lost in the defensive zone
dzFOW	Faceoffs win in the defensive zone
dzGAPF	Team goals allowed after faceoffs taken in the defensive zone
dzGFPF	Team goals scored after faceoffs taken in the defensive zone
DZS	Shifts this player has started with an defensive zone faceoff
dzSAPF	Team shot attempts allowed after faceoffs taken in the defensive zone
dzSFPF	Team shot attempts taken after faceoffs taken in the defensive zone
E+/-	A player's expected +/-, based on his team and minutes played
ENG	Empty-net goals
Exp dzNGPF	Expected goal differential after faceoffs taken in the defensive zone, based on the number of them
Exp dzNSPF	Expected shot differential after faceoffs taken in the defensive zone, based on the number of them
Exp ozNGPF	Expected goal differential after faceoffs taken in the offensive zone, based on the number of them
Exp ozNSPF	Expected shot differential after faceoffs taken in the offensive zone, based on the number of them
F.Close	A player unblocked shot attempt (Fenwick) differential when the game was close
F.Down	A player unblocked shot attempt (Fenwick) differential when the team was trailing
F.Tied	A player unblocked shot attempt (Fenwick) differential when the team was tied
F.Up	A player unblocked shot attempt (Fenwick) differential when the team was in the lead. Not the best acronym.
F/60	Events For per 60 minutes, defaults to Corsi, but can be set to another stat
FA	Unblocked shot attempts allowed (Fenwick, USAT) while this player was on the ice
