Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-,E+/-,PIM,Shifts,TOI,TOI,TOI/GP,TOI/GP,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iCF,iFF,iSF,iSF,iSF,ixG,iSCF,iRB,iRS,iDS,sDist,sDist,Pass,iHF,iHF,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA,iTKA,iBLK,BLK%,iFOW,iFOL,iFOW,iFOL,FO%,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPEND,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,OTOI,Grit,DAP,Pace,GS,GS/G
800000.00,86-07-27,Lively,ON,CAN,CAN,73,195,,,,L,Desjardins,Andrew,LW/C,CHI,46,0,1,0,1,1,-6,0.8,22,607,25948,432.3,9.4,9.4,18.20%,10.00%,4.80%,0.912,959,1.39,2.64,34.50%,-9,-1.25,84,84,59,46,46,46,4.5,19,2,4,6,27,26.1,0,73,73,57,16,13,10,9,17,10,9,17,3.90%,39,30,39,30,56.50%,19.20%,19,9,9,12,11,9,12,5,4,10,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,2,3,5,1,34,8,9,8,7,1,-1.1,6,2,0,0,0,386,439,272,307,209,215,17.4,21.2,51,71,10,19,11,14,19,22,30,36,164,196,183,229,65,55,19,20,-1.1,0.1,-1,1937.88,114,13.7,114.5,3.7,0.08
600000.00,92-04-09,Ile Bizard,QC,CAN,CAN,74,204,2010,3,89,L,Chaput,Michael,C,VAN,68,4,5,2,3,9,-12,-5.7,29,1115,44970,749.1,11.02,11.02,20.50%,56.30%,4.70%,0.924,971,1.28,2.48,34.00%,-15,-1.2,113,113,80,64,64,64,6.6,29,9,5,14,28.4,24.5,79,68,68,52,16,16,14,13,29,14,13,29,4.00%,203,182,203,182,52.70%,59.50%,61,60,86,70,56,52,74,59,65,68,143,116,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,15,5,5,5,5,4,0,40,13,8,13,7,-5,-5.9,12,1,0,0,0,611,733,450,555,339,409,22.9,32.5,81,102,16,31,18,26,25,23,43,49,330,317,327,307,71,77,45,38,-0.8,0.5,-0.3,2903.93,127,6.8,107.6,5.7,0.08
1000000.00,88-03-17,Brandon,MB,CAN,CAN,72,200,2006,3,66,R,White,Ryan,C,ARI/MIN,65,9,7,4,3,16,-16,-9,84,948,41566,692.7,10.65,10.65,20.70%,76.20%,6.80%,0.894,962,1.82,3.38,35.00%,-18,-1.56,103,103,81,60,60,60,5.5,21,7,9,16,32.1,30.5,105.1,187,187,69,118,21,10,11,33,10,11,33,4.70%,39,52,39,52,42.90%,14.30%,17,23,9,7,13,22,11,20,11,18,29,29,0,0,1,0,0,0,1,0,0,2,2,0,4,0,0,3,18,1,0,7,6,2,0,44,21,7,15,7,-14,-7,12,6,0,3,0,560,700,421,539,309,368,21.3,32.1,63,99,21,39,26,25,30,27,56,52,320,318,497,300,62,51,43,36,0.8,0.1,0.9,2649.17,310,16.5,109.1,7.8,0.12
925000.00,96-06-20,Holland Landing,ON,CAN,CAN,73,186,2014,1,4,L,Bennett,Sam,C,CGY,81,13,13,7,6,26,-16,-0.6,75,1613,72839,1212.7,14.98,14.98,26.20%,65.00%,7.70%,0.906,983,1.98,2.62,43.00%,-13,-0.64,215,215,169,122,122,122,13.3,45,12,19,31,27,26.6,211.4,127,127,66,61,47,25,43,46,25,43,46,4.40%,374,437,374,437,46.10%,72.10%,115,125,141,163,118,149,118,137,127,159,219,255,0,3,0,1,0,0,0,0,2,1,1,0,9,1,0,9,37,13,0,5,9,16,2,77,33,21,32,16,-12,-11.9,30,3,0,0,0,1004,1048,739,778,519,562,40.8,46.3,115,150,40,53,21,28,52,45,73,73,537,588,426,334,213,175,85,80,0.8,0.8,1.6,3411.7,251,5.7,101.5,21.6,0.27
950000.00,89-04-20,Red Deer,AB,CAN,CAN,72,195,2007,4,112,R,Sceviour,Colton,C/RW,FLA,80,9,15,9,6,24,-16,-6.5,25,1596,70241,1169.7,14.63,14.63,26.00%,68.60%,6.30%,0.911,974,1.8,2.82,38.90%,-20,-1.03,264,264,220,172,172,172,14.5,51,17,13,30,31.2,28.7,265.1,108,108,93,15,48,23,40,64,23,40,64,5.80%,31,27,31,27,53.40%,5.20%,12,10,6,4,13,13,15,10,7,10,18,15,0,2,1,0,0,0,1,0,0,1,0,0,7,0,2,1,45,18,1,24,34,5,9,81,10,12,11,7,2,-7.4,9,1,0,0,0,962,1113,740,838,556,619,41.5,54.1,123,171,35,55,33,42,51,52,84,94,543,572,482,360,177,157,66,67,0.4,0.9,1.3,3327.53,198,16.4,106.4,27.4,0.34
680000.00,94-01-06,Edmonton,AB,CAN,CAN,74,187,2012,4,105,L,Kulak,Brett,D,CGY,21,0,3,2,1,3,-3,-0.4,12,415,17945,299.1,14.25,14.24,27.90%,42.90%,5.20%,0.921,973,1.4,2.41,36.80%,-5,-1,53,53,30,19,19,19,1,1,1,4,5,54.7,46.3,74.4,14,14,15,-1,11,10,4,13,10,4,13,5.00%,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,6,0,0,5,6,1,5,0,-5,-3.5,6,0,0,0,0,271,262,187,205,134,152,11.7,12.1,36,33,7,12,12,9,15,15,27,24,128,127,145,115,55,30,22,24,-0.1,0.4,0.4,771.85,39,3,106.9,3,0.14
590000.00,92-04-24,Oakville,ON,CAN,CAN,71,183,2011,7,209,L,Wilson,Scott,LW/C,PIT,78,8,18,11,7,26,0,7.8,32,1253,51220,853.5,10.95,10.95,21.70%,72.20%,7.80%,0.916,994,2.53,2.46,50.70%,1,0.07,215,214,172,127,127,127,13.9,52,8,10,18,27,25.6,249,167,167,171,-4,45,11,20,31,11,20,31,3.90%,3,0,3,0,100.00%,0.40%,0,0,1,0,2,0,1,0,2,0,3,0,0,3,1,0,0,1,3,1,1,0,0,0,3,1,6,4,34,15,2,8,23,13,5,61,9,20,9,19,11,11.3,6,2,0,1,0,820,791,624,565,462,419,45,37.6,152,129,36,35,50,42,37,31,87,73,391,398,497,545,109,74,44,57,1.4,0.6,2,3086.34,232,31.2,113.3,29.6,0.38
650000.00,91-05-13,St. Catharines,ON,CAN,CAN,74,203,2009,3,70,R,Beck,Taylor,LW,EDM/NYR,5,0,0,0,0,0,-3,-1.4,4,70,2643,44,8.82,8.81,17.20%,0.00%,0.00%,0.87,870,0,4.09,0.00%,-3,-4.09,11,11,5,5,5,5,0.3,2,0,0,0,23.6,23.3,0,5,5,6,-1,0,2,1,0,2,1,0,0.00%,0,1,0,1,0.00%,2.60%,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,0,1,0,-2,-1,2,0,0,0,0,33,44,20,32,15,23,0.9,3,4,12,0,3,0,4,1,1,1,5,19,19,21,20,10,2,3,2,-0.1,-0.1,-0.2,212.16,9,3,104.9,-0.9,-0.18
2250000.00,86-04-28,Ostrava,,CZE,CZE,74,235,2004,6,180,R,Polak,Roman,D,TOR,75,4,7,2,5,11,10,-2.3,65,1817,80643,1339.2,17.83,17.87,32.50%,25.00%,7.60%,0.93,1006,1.97,2.46,44.40%,-11,-0.49,162,164,99,62,64,64,2.7,3,2,5,7,56.5,49.4,76.2,232,232,123,109,38,49,16,133,49,16,133,8.60%,0,1,0,1,0.00%,0.10%,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,5,33,2,0,26,23,0,0,13,24,6,23,4,-18,-13.5,20,3,0,0,1,1085,1544,837,1140,577,781,54,75.4,182,255,44,55,25,46,62,66,87,112,613,639,676,647,236,231,90,70,0,3.2,3.2,2783.42,433,12.4,117.8,11.8,0.16
600000.00,90-10-08,Faribault,MN,USA,USA,76,210,2009,4,114,L,Helgeson,Seth,D,N.J,9,1,0,0,0,1,2,0.4,15,177,7273,121.2,13.47,13.47,26.30%,25.00%,8.30%,0.934,1018,1.98,1.98,50.00%,0,0,11,11,8,3,3,3,0.2,0,0,0,0,53,44.3,0,16,16,6,10,5,0,0,11,0,0,11,9.90%,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,2,0,0,0,3,0,3,1,-3,-1.5,0,3,0,0,0,90,111,74,81,48,61,4.4,5.3,13,11,4,4,2,8,0,6,2,14,55,62,63,34,8,5,11,5,0.1,0.5,0.6,340.46,45,0,99.5,1,0.11
5000000.00,94-03-09,Vancouver,BC,CAN,CAN,73,215,2012,1,5,L,Rielly,Morgan,D,TOR,76,6,21,14,7,27,-20,2.6,21,2335,101089,1669.7,22.05,22.06,37.10%,39.70%,7.90%,0.903,982,2.44,3.41,41.70%,-27,-0.97,NA,352,NA,NA,171,171,8.7,19,NA,14,#VALUE!,51.6,NA,305.4,46,46,112,-66,78,76,34,120,76,34,120,6.70%,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,3,0,1,10,67,3,0,16,81,2,0,68,9,10,9,8,1,6.6,8,1,0,0,0,1621,1786,1223,1373,857,975,78.8,88.8,288,311,68,95,40,58,89,81,129,139,938,976,609,711,267,245,84,107,1.6,1.3,2.9,2832.12,188,10,122.4,34.9,0.46
5250000.00,92-06-25,Wilcox,SK,CAN,CAN,70,188,2010,1,14,L,Schwartz,Jaden,LW/C,STL,78,19,36,24,12,55,14,8.7,18,2032,88482,1470.6,18.9,18.89,31.90%,65.50%,10.20%,0.914,1016,3.43,2.16,61.30%,31,1.26,303,303,241,179,179,179,22,80,17,16,33,26.2,23.9,360.7,71,71,110,-39,62,29,59,43,29,59,43,3.70%,67,73,67,73,47.90%,9.40%,13,11,16,19,38,43,20,23,18,23,40,43,1,3,4,2,0,0,3,0,0,0,4,0,12,2,4,3,53,16,4,18,18,19,2,102,9,9,8,8,0,2.5,9,0,0,0,0,1503,1168,1108,854,827,618,73.8,49.2,239,153,84,53,56,31,57,50,113,81,780,713,367,479,141,167,65,68,4.1,2.3,6.4,3146.08,132,14.4,109,63.3,0.81
925000.00,96-05-01,Calgary,AB,CAN,SWE,72,190,2014,1,8,R,Nylander,William,C/RW,TOR,81,22,39,23,16,61,-3,7.2,32,1766,77820,1291.4,15.92,15.96,28.50%,82.40%,9.10%,0.928,1019,3.44,2.04,62.70%,30,1.39,361,363,284,204,205,205,19.7,67,6,21,27,31.8,29,391.4,25,25,NA,#VALUE!,81,30,59,16,30,59,16,1.50%,49,73,49,73,40.20%,10.40%,9,11,15,29,25,33,19,24,21,21,24,48,0,1,2,1,0,0,1,0,1,6,1,0,13,0,5,13,63,8,1,11,77,12,2,94,16,6,16,6,-10,-6.6,16,0,0,0,0,1527,1091,1162,841,810,610,82.8,50.4,305,170,74,44,42,25,74,56,116,81,546,630,418,585,210,189,75,78,5.7,1.1,6.8,3233.56,73,5.3,121.6,61,0.75
1600000.00,90-11-29,Plzen,,CZE,CZE,79,220,,,,R,Sustr,Andrej,D,T.B,80,3,11,5,6,14,-10,-4.8,43,1813,84427,1404.6,17.58,17.58,31.60%,35.00%,6.50%,0.917,982,1.71,2.78,38.10%,-25,-1.07,164,164,119,93,93,93,3.4,7,2,6,8,49.3,46.1,144.5,45,45,103,-58,26,49,18,102,49,18,102,7.20%,0,1,0,1,0.00%,0.10%,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,3,21,2,0,24,10,2,1,54,20,3,21,1,-17,-12.9,19,1,0,0,0,1115,1413,854,1062,616,785,46.6,64.8,113,193,40,65,46,51,53,73,99,124,616,701,515,536,208,140,87,84,0.1,2.4,2.5,3033.39,191,3.3,108,14.2,0.18
717500.00,96-11-26,Colorado Springs,CO,USA,USA,77,203,2015,2,37,R,Carlo,Brandon,D,BOS,82,6,10,3,7,16,9,5.3,59,2080,102414,1699.7,20.72,20.75,36.60%,22.20%,8.50%,0.908,993,2.54,2.89,46.80%,-10,-0.35,179,179,130,88,88,88,3.8,5,3,4,7,54.5,45.3,68.6,87,87,145,-58,42,42,21,115,42,21,115,7.00%,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,1,0,0,1,0,1,4,37,2,0,30,17,0,0,39,28,5,28,7,-23,-12.9,27,1,0,0,0,1485,1643,1138,1237,845,891,67.1,74,202,240,72,82,43,48,73,65,116,113,867,780,611,655,268,226,117,89,0.4,4.8,5.2,2942.85,262,4,110.4,24.7,0.3
925000.00,96-05-25,Havirov,,CZE,CZE,72,181,2014,1,25,R,Pastrnak,David,RW/LW,BOS,75,34,36,22,14,70,11,14.8,34,1597,80921,1343.4,17.87,17.92,32.10%,71.40%,10.80%,0.91,1018,4.38,2.1,67.60%,51,2.28,465,465,361,262,262,262,24.9,80,12,20,32,34.4,30.5,392.6,72,72,NA,#VALUE!,99,65,50,32,65,50,32,3.20%,2,1,2,1,66.70%,0.20%,1,0,0,0,1,1,1,0,1,1,1,1,2,5,6,3,0,0,3,0,6,8,2,0,15,0,4,7,88,26,2,55,50,11,0,117,17,36,15,31,19,16.5,17,0,0,0,0,1691,996,1281,733,906,524,84.1,43,274,143,98,47,60,30,63,53,123,83,792,635,364,518,243,177,74,85,8.1,2.2,10.3,2847.67,138,7.2,120,89.4,1.19
900000.00,98-03-14,St. Albert,AB,CAN,CAN,71,191,2016,1,10,L,Jost,Tyson,C/LW/RW,COL,6,1,0,0,0,1,-5,-1.5,0,121,5643,94.1,15.68,15.68,26.00%,50.00%,4.20%,0.846,888,1.28,5.1,20.00%,-6,-3.83,15,15,11,9,9,9,0.9,2,1,0,1,27.9,27.8,0,3,3,7,-4,2,1,3,3,1,3,3,3.20%,28,42,28,42,40.00%,87.50%,9,15,11,13,8,14,5,15,6,12,19,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,2,0,0,4,0,2,0,2,2,2.1,0,0,0,0,0,90,95,65,76,48,52,3.2,4.2,10,13,2,8,1,4,3,0,4,4,34,46,35,17,5,11,3,7,0,-0.1,-0.1,267.39,6,0,118,0.6,0.1
3750000.00,88-05-28,Sherbrooke,QC,CAN,CAN,72,200,2007,1,26,R,Perron,David,LW/RW,STL,82,18,28,16,12,46,-2,5.1,54,2019,85106,1415.2,17.3,17.29,29.30%,64.80%,10.30%,0.911,1014,3.01,2.2,57.70%,19,0.81,260,260,215,151,151,151,15.7,49,10,11,21,28.1,26.3,187.7,87,87,109,-22,64,21,48,28,21,48,28,2.50%,32,34,32,34,48.50%,5.00%,6,7,5,9,21,18,12,12,10,12,18,20,1,5,3,2,0,0,3,0,0,1,3,1,10,0,3,3,58,17,3,14,10,8,2,97,27,26,27,23,-1,0,27,0,0,0,0,1275,1114,945,849,690,585,60.2,51.5,189,173,71,52,38,40,52,52,90,92,673,649,426,490,115,164,81,76,3.1,1.6,4.7,3419.13,169,5,101.3,44.9,0.55
792500.00,94-03-23,Boden,,SWE,SWE,75,209,2012,3,81,R,Sundqvist,Oskar,C,PIT,10,0,0,0,0,0,-4,-1.7,2,138,5504,91.6,9.17,9.17,16.70%,0.00%,5.90%,0.844,903,1.31,4.59,22.20%,-5,-3.28,10,10,9,9,9,9,0.6,3,0,0,0,31.9,31.5,0,13,13,15,-2,0,2,1,2,2,1,2,2.10%,16,28,16,28,36.40%,62.90%,5,12,7,8,4,8,5,11,3,3,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,5,1,1,1,1,0,0,1,0,0,0,0,71,97,49,66,34,45,2.5,4.3,10,15,2,7,1,2,6,6,7,8,29,41,64,47,15,4,3,4,-0.3,-0.1,-0.4,456.16,17,14,110.1,-0.9,-0.09
600000.00,90-11-16,Merrimack,NH,USA,USA,74,219,,,,L,Schaller,Tim,C,BOS,59,7,7,6,1,14,-6,0.7,23,1035,43436,723.6,12.27,12.27,22.40%,66.70%,6.30%,0.923,986,1.74,2.24,43.80%,-6,-0.5,157,157,130,89,89,89,9.2,30,7,8,15,27,24.2,193.5,73,73,78,-5,41,18,19,38,18,19,38,5.60%,28,29,28,29,49.10%,8.90%,7,10,8,6,13,13,6,8,9,9,19,16,0,3,2,0,0,0,2,0,0,3,0,0,2,0,2,5,34,10,2,4,12,7,8,46,10,8,10,6,-2,-5.8,9,1,0,0,0,643,682,480,491,333,351,28.9,27.3,88,86,21,27,21,13,31,28,52,41,342,298,294,325,80,86,42,49,0.4,0.7,1.1,2507.79,135,10.2,109.9,16.4,0.28
6000000.00,91-08-22,Saskatoon,SK,CAN,CAN,73,195,2009,1,5,L,Schenn,Brayden,C/LW,PHI,79,25,30,17,13,55,-13,0.8,38,1767,84404,1397.1,17.8,17.76,31.10%,62.50%,9.70%,0.911,1008,3.78,2.32,62.00%,34,1.46,317,317,261,178,178,178,27.2,104,30,12,42,26,23.3,371.9,189,189,109,80,83,36,18,42,36,18,42,3.60%,232,262,232,262,47.00%,33.70%,60,54,73,99,99,109,38,45,90,107,165,172,2,2,7,0,0,0,3,1,3,6,5,0,7,1,3,5,74,15,8,16,50,28,1,60,16,17,15,15,1,-0.5,14,2,0,0,0,1734,1174,1293,846,910,608,96.4,48.8,327,159,88,54,90,45,69,65,159,110,764,702,627,538,221,103,75,99,4.9,1.2,6.2,3088.97,271,14.8,124.9,49,0.62
