County,City,Incorportation_date,pop_april_1980,pop_april_1990,pop_april_2000,pop_april_2010
San Bernardino,Adelanto,1970,2164,8517,18130,31765
Los Angeles,Agoura Hills,1982,,20390,20537,20330
Alameda,Alameda,1854,63852,76459,72259,73812
Alameda,Albany,1908,15130,16327,16444,18539
Los Angeles,Alhambra,1903,64767,82106,85804,83089
Modoc,Alturas,1901,3025,3231,2892,2827
Amador,Amador City,1915,136,196,196,185
Orange,Anaheim,1876,219494,266406,328014,336265
Shasta,Anderson,1956,7381,8299,9022,9932
Calaveras,Angels,1912,2302,2409,3004,3836
Contra Costa,Antioch,1872,42683,62195,90532,102372
San Bernardino,Apple Valley,1988,,46079,54239,69135
Los Angeles,Arcadia,1903,45993,48290,53054,56364
Humboldt,Arcata,1858,12850,15197,16651,17231
San Luis Obispo,Arroyo Grande,1911,11290,14378,15851,17252
Los Angeles,Artesia,1959,14301,15464,16380,16522
Kern,Arvin,1960,6863,9286,12956,19304
San Luis Obispo,Atascadero,1979,16232,23138,26411,28310
San Mateo,Atherton,1923,7797,7163,7194,6914
Merced,Atwater,1922,17530,22282,23113,28168
Placer,Auburn,1888,7540,10592,12462,13330
Los Angeles,Avalon,1913,2022,2918,3127,3728
Kings,Avenal,1979,4137,9770,14674,15505
Los Angeles,Azusa,1898,29380,41333,44712,46361
Kern,Bakersfield,1873,105611,174820,246889,347483
Los Angeles,Baldwin Park,1956,50554,69330,75837,75390
Riverside,Banning,1913,14020,20570,23562,29603
San Bernardino,Barstow,1947,17690,21472,21119,22639
Riverside,Beaumont,1912,6818,9685,11384,36877
Los Angeles,Bell,1927,25450,34365,36664,35477
Los Angeles,Bell Gardens,1961,34117,42355,44054,42072
Los Angeles,Bellflower,1957,53441,61815,72878,76616
San Mateo,Belmont,1926,24505,24127,25123,25835
Marin,Belvedere,1896,2401,2147,2125,2068
Solano,Benicia,1850,15376,24437,26865,26997
Alameda,Berkeley,1878,103328,102724,102743,112580
Los Angeles,Beverly Hills,1914,32646,31971,33784,34109
San Bernardino,Big Bear Lake,1980,,5351,5438,5019
Butte,Biggs,1903,1413,1581,1793,1707
Inyo,Bishop,1903,3333,3475,3575,3879
